DATE,STATE,COUNTY (TOP 3),TOTAL CASES,TOTAL DEATHS,NEW CASES,NEW DEATHS,TESTS PERFORMED THAT DAY,TOTAL TESTS PERFORMED,,,,
,,UNION,13781,829,177,29,,,,,,
,,PASSAIC,14133,703,162,13,,,,,,
,MA,SUFFOLK,14732,663,256,663,11993,351632,,,,
,,MIDDLESEX,16676,1103,349,1103,,,,,,
,,ESSEX,10610,578,266,578,,,,,,
,,NORFOLK,6729,608,119,608,,,,,,
,,WORCESTER,7197,385,205,385,,,,,,
,MI,WAYNE,17667,2012,96,39,13831,247062,,,,
,,OAKLAND,7624,789,51,15,,,,,,
,,MACOMB,5876,678,44,16,,,,,,
,,GENESEE,1731,213,21,5,,,,,,
,,WASHTENAW,1140,77,11,0,,,,,,
,PA,PHILADELPHIA,14006,816,14006,13,6448,262788,,,,
,,MONTGOMERY,4915,506,88,35,,,,,,
,,DELEWARE,4497,376,67,50,,,,,,
,,LEHIGH,3102,111,39,9,,,,,,
,,BERKS,3095,168,47,20,,,,,,
,CA,LOS ANGELES,29544,1418,857,51,32398,875272,,,,
,,SAN DIEGO,4431,189,110,3,,,,,,
,,RIVERSIDE,4608,203,73,9,,,,,,
,,SANTA CLARA,2281,127,11,1,,,,,,
,,ORANGE,3283,66,127,1,,,,,,
8-May,NY,QUEENS,55944,3659,494,37,31627,1121543,,,,
,,KINGS,48998,4012,448,35,,,,,,
,,NASSAU,37812,2362,219,22,,,,,,
,,BRONX,40533,2702,352,24,,,,,,
,,SUFFOLK,36223,1616,331,17,,,,,,
,NJ,BERGEN,16709,1329,100,10,6101,298759,,,,
,,HUDSON,16520,940,166,17,,,,,,
,,ESSEX,15256,1398,161,17,,,,,,
,,UNION,13917,844,136,15,,,,,,
,,PASSAIC,14280,715,147,12,,,,,,
,MA,SUFFOLK,14944,683,212,20,14400,366032,,,,
,,MIDDLESEX,17014,1132,338,29,,,,,,
,,ESSEX,10995,601,385,23,,,,,,
,,NORFOLK,7801,623,1072,15,,,,,,
,,WORCESTER,7410,404,213,19,,,,,,
,MI,WAYNE,17824,2028,157,16,13191,260253,,,,
,,OAKLAND,7664,805,40,16,,,,,,
,,MACOMB,5963,682,87,4,,,,,,
,,GENESEE,1739,214,8,1,,,,,,
,,WASHTENAW,1160,80,20,3,,,,,,
,PA,PHILADELPHIA,14384,875,378,59,7771,270559,,,,
,,MONTGOMERY,5037,515,122,9,,,,,,
,,DELEWARE,4680,382,183,6,,,,,,
,,LEHIGH,3140,114,38,3,,,,,,
,,BERKS,3190,168,95,0,,,,,,
,CA,LOS ANGELES,30357,1468,813,50,37298,912570,,,,
,,SAN DIEGO,4664,194,233,5,,,,,,
,,RIVERSIDE,4672,210,64,7,,,,,,
,,SANTA CLARA,2285,130,4,3,,,,,,
,,ORANGE,3395,72,112,6,,,,,,
9-May,NY,QUEENS,56493,3680,549,21,32225,1153768,,,,
,,KINGS,49461,4049,463,37,,,,,,
,,NASSAU,38028,2388,216,26,,,,,,
,,BRONX,40804,2723,271,21,,,,,,
,,SUFFOLK,36461,1647,238,31,,,,,,
,NJ,BERGEN,16804,1348,95,19,6447,305206,,,,
,,HUDSON,16675,954,155,14,,,,,,
,,ESSEX,15365,1414,109,16,,,,,,
,,UNION,12984,852,-933,8,,,,,,
,,PASSAIC,14428,734,148,19,,,,,,
,MA,SUFFOLK,15119,703,175,20,10505,376537,,,,
,,MIDDLESEX,17307,1169,293,37,,,,,,
,,ESSEX,11211,625,216,24,,,,,,
,,NORFOLK,6887,635,-914,12,,,,,,
,,WORCESTER,7611,420,201,16,,,,,,
,MI,WAYNE,17960,2082,136,54,13233,273486,,,,
,,OAKLAND,7692,841,28,36,,,,,,
,,MACOMB,6019,697,56,15,,,,,,
,,GENESEE,1750,223,11,9,,,,,,
,,WASHTENAW,1176,81,16,1,,,,,,
,PA,PHILADELPHIA,14637,891,253,16,6548,277107,,,,
,,MONTGOMERY,5116,523,79,8,,,,,,
,,DELEWARE,4836,394,156,12,,,,,,
,,LEHIGH,3169,120,29,6,,,,,,
,,BERKS,3257,169,67,1,,,,,,
,CA,LOS ANGELES,31268,1512,911,44,43094,955664,,,,
,,SAN DIEGO,4778,194,114,0,,,,,,
,,RIVERSIDE,4871,212,199,2,,,,,,
,,SANTA CLARA,2317,130,32,0,,,,,,
,,ORANGE,3506,75,111,3,,,,,,
10-May,NY,QUEENS,56862,3708,369,28,29230,1182998,,,,
,,KINGS,49817,4081,356,32,,,,,,
,,NASSAU,38217,2413,189,25,,,,,,
,,BRONX,41059,2740,255,17,,,,,,
,,SUFFOLK,36702,1667,241,20,,,,,,
,NJ,BERGEN,16929,1355,125,7,7241,312447,,,,
,,HUDSON,16822,969,147,15,,,,,,
,,ESSEX,15524,1423,159,9,,,,,,
,,UNION,14057,867,1073,15,,,,,,
,,PASSAIC,14543,744,115,10,,,,,,
,MA,SUFFOLK,15279,718,160,15,11852,388389,,,,
,,MIDDLESEX,17589,1207,282,38,,,,,,
,,ESSEX,11353,644,142,19,,,,,,
,,NORFOLK,6952,650,65,15,,,,,,
,,WORCESTER,6952,444,-659,24,,,,,,
,MI,WAYNE,18075,2097,115,15,12192,285678,,,,
,,OAKLAND,7736,843,44,2,,,,,,
,,MACOMB,6042,698,23,1,,,,,,
,,GENESEE,1758,224,8,1,,,,,,
,,WASHTENAW,1182,910,6,829,,,,,,
,PA,PHILADELPHIA,14883,894,246,3,7276,284383,,,,
,,MONTGOMERY,5260,525,144,2,,,,,,
,,DELEWARE,4976,395,140,1,,,,,,
,,LEHIGH,3241,121,72,1,,,,,,
,,BERKS,3371,170,114,1,,,,,,
,CA,LOS ANGELES,31711,1530,443,18,36233,991897,,,,
,,SAN DIEGO,4928,194,150,0,,,,,,
,,RIVERSIDE,4951,215,80,3,,,,,,
,,SANTA CLARA,2331,130,14,0,,,,,,
,,ORANGE,3627,76,121,1,,,,,,
11-May,NY,QUEENS,57180,3724,318,16,21652,1204650,,,,
,,KINGS,50072,4108,255,27,,,,,,
,,NASSAU,38337,2425,120,12,,,,,,
,,BRONX,31296,2758,,18,,,,,,
,,SUFFOLK,36911,1689,209,22,,,,,,
,NJ,BERGEN,17028,1358,99,3,113486,425933,,,,
,,HUDSON,16936,971,114,2,,,,,,
,,ESSEX,15602,1426,78,3,,,,,,
,,UNION,14164,875,107,8,,,,,,
,,PASSAIC,14645,747,102,3,,,,,,
,MA,SUFFOLK,15356,731,77,13,6339,394728,,,,
,,MIDDLESEX,17774,1235,185,28,,,,,,
,,ESSEX,11432,669,79,25,,,,,,
,,NORFOLK,7004,661,52,11,,,,,,
,,WORCESTER,7818,457,866,13,,,,,,
,MI,WAYNE,18194,2105,119,8,13270,298948,,,,
,,OAKLAND,7752,849,16,6,,,,,,
,,MACOMB,6064,699,22,1,,,,,,
,,GENESEE,1765,224,7,0,,,,,,
,,WASHTENAW,1192,81,10,-829,,,,,,
,PA,PHILADELPHIA,15008,893,125,-1,4475,288858,,,,
,,MONTGOMERY,5292,525,32,0,,,,,,
,,DELEWARE,5046,399,70,4,,,,,,
,,LEHIGH,3259,121,18,0,,,,,,
,,BERKS,3417,171,46,1,,,,,,
,CA,LOS ANGELES,32279,1569,568,39,41473,1033370,,,,
,,SAN DIEGO,5067,204,139,10,,,,,,
,,RIVERSIDE,5082,228,131,13,,,,,,
,,SANTA CLARA,2340,133,9,3,,,,,,
,,ORANGE,3699,78,72,2,,,,,,
12-May,NY,QUEENS,57391,3746,211,22,20463,1225113,,,,
,,KINGS,50331,4132,259,24,,,,,,
,,NASSAU,38434,2453,97,28,,,,,,
,,BRONX,41441,2777,10145,19,,,,,,
,,SUFFOLK,37062,1704,151,15,,,,,,
,NJ,BERGEN,17091,1388,63,30,7127,433060,,,,
,,HUDSON,16975,981,39,10,,,,,,
,,ESSEX,15685,1444,83,18,,,,,,
,,UNION,14203,899,39,24,,,,,,
,,PASSAIC,14716,765,71,18,,,,,,
,MA,SUFFOLK,15454,732,98,1,6768,401496,,,,
,,MIDDLESEX,17953,1244,179,9,,,,,,
,,ESSEX,11572,678,140,9,,,,,,
,,NORFOLK,7046,663,42,2,,,,,,
,,WORCESTER,7959,459,141,2,,,,,,
,MI,WAYNE,18274,2140,80,35,8942,307890,,,,
,,OAKLAND,7784,872,32,23,,,,,,
,,MACOMB,6097,710,33,11,,,,,,
,,GENESEE,1782,225,17,1,,,,,,
,,WASHTENAW,1206,82,14,1,,,,,,
,PA,PHILADELPHIA,15218,908,210,15,7122,295980,,,,
,,MONTGOMERY,5442,534,150,9,,,,,,
,,DELEWARE,5084,405,38,6,,,,,,
,,LEHIGH,3286,123,27,2,,,,,,
,,BERKS,3453,172,36,1,,,,,,
,CA,LOS ANGELES,33281,1613,1002,44,32222,1065592,,,,
,,SAN DIEGO,5163,217,96,13,,,,,,
,,RIVERSIDE,5134,238,52,10,,,,,,
,,SANTA CLARA,2362,133,22,0,,,,,,
,,ORANGE,3843,78,144,0,,,,,,
13-May,NY,QUEENS,57748,3762,357,16,33794,1258907,,,,
,,KINGS,50667,4155,336,23,,,,,,
,,NASSAU,38587,2468,153,15,,,,,,
,,BRONX,41677,2797,236,20,,,,,,
,,SUFFOLK,37305,1729,243,25,,,,,,
,NJ,BERGEN,17150,1409,59,21,8390,441450,,,,
,,HUDSON,17035,1007,60,26,,,,,,
,,ESSEX,15749,1471,64,27,,,,,,
,,UNION,14306,908,103,9,,,,,,
,,PASSAIC,14757,785,41,20,,,,,,
,MA,SUFFOLK,15587,749,133,17,8536,410032,,,,
,,MIDDLESEX,18201,1282,248,38,,,,,,
,,ESSEX,11703,704,131,26,,,,,,
,,NORFOLK,7129,676,83,13,,,,,,
,,WORCESTER,8241,489,282,30,,,,,,
,MI,WAYNE,18389,2156,115,16,370,308260,,,,
,,OAKLAND,7830,874,46,2,,,,,,
,,MACOMB,6137,717,40,7,,,,,,
,,GENESEE,1784,227,2,2,,,,,,
,,WASHTENAW,1210,83,4,1,,,,,,
,PA,PHILADELPHIA,15376,986,158,78,6889,302869,,,,
,,MONTGOMERY,5513,556,71,22,,,,,,
,,DELEWARE,5157,419,73,14,,,,,,
,,LEHIGH,3318,129,32,6,,,,,,
,,BERKS,3485,179,32,7,,,,,,
,CA,LOS ANGELES,34574,1659,1293,46,39059,1104651,,,,
,,SAN DIEGO,5280,223,117,6,,,,,,
,,RIVERSIDE,5204,246,70,8,,,,,,
,,SANTA CLARA,2370,135,8,2,,,,,,
,,ORANGE,4025,80,182,2,,,,,,
14-May,NY,QUEENS,58084,3770,336,8,39850,1298757,,,,
,,KINGS,51095,4183,428,28,,,,,,
,,NASSAU,38743,2485,156,17,,,,,,
,,BRONX,41980,2819,303,22,,,,,,
,,SUFFOLK,37544,1745,239,16,,,,,,
,NJ,BERGEN,17080,1423,-70,14,10246,451696,,,,
,,HUDSON,17134,1032,99,25,,,,,,
,,ESSEX,15824,1496,75,25,,,,,,
,,UNION,14385,930,79,22,,,,,,
,,PASSAIC,14887,802,130,17,,,,,,
,MA,SUFFOLK,15881,759,294,10,14329,424361,,,,
,,MIDDLESEX,18381,1327,180,45,,,,,,
,,ESSEX,11950,725,247,21,,,,,,
,,NORFOLK,7258,696,129,20,,,,,,
,,WORCESTER,8555,524,314,35,,,,,,
,MI,WAYNE,18770,2183,381,27,27623,335883,,,,
,,OAKLAND,7952,888,122,14,,,,,,
,,MACOMB,6232,728,95,11,,,,,,
,,GENESEE,1813,228,29,1,,,,,,
,,WASHTENAW,1231,86,21,3,,,,,,
,PA,PHILADELPHIA,15624,1008,248,22,8326,311195,,,,
,,MONTGOMERY,5583,587,70,31,,,,,,
,,DELEWARE,5252,448,95,29,,,,,,
,,LEHIGH,3378,133,60,4,,,,,,
,,BERKS,3530,196,45,17,,,,,,
,CA,LOS ANGELES,35427,1709,853,50,29255,1133906,,,,
,,SAN DIEGO,5393,231,113,8,,,,,,
,,RIVERSIDE,5339,249,135,3,,,,,,
,,SANTA CLARA,2380,135,10,0,,,,,,
,,ORANGE,4163,80,138,0,,,,,,
15-May,NY,QUEENS,58516,3781,432,11,39291,1338048,,,,
,,KINGS,51581,4200,486,17,,,,,,
,,NASSAU,38864,2499,121,14,,,,,,
,,BRONX,42519,2832,539,13,,,,,,
,,SUFFOLK,37719,1757,175,12,,,,,,
,NJ,BERGEN,17195,1443,115,20,11276,462972,,,,
,,HUDSON,17237,1042,103,10,,,,,,
,,ESSEX,15953,1510,129,14,,,,,,
,,UNION,14492,939,107,9,,,,,,
,,PASSAIC,14930,816,43,14,,,,,,
,MA,SUFFOLK,15996,768,115,9,11318,435679,,,,
,,MIDDLESEX,18683,1347,302,20,,,,,,
,,ESSEX,12131,751,181,26,,,,,,
,,NORFOLK,7331,710,73,14,,,,,,
,,WORCESTER,8786,538,231,14,,,,,,
,MI,WAYNE,18882,2192,112,9,21613,357496,,,,
,,OAKLAND,7994,896,42,8,,,,,,
,,MACOMB,6274,729,42,1,,,,,,
,,GENESEE,1835,229,22,1,,,,,,
,,WASHTENAW,1236,87,5,1,,,,,,
,PA,PHILADELPHIA,15835,1021,211,13,8637,319832,,,,
,,MONTGOMERY,5697,608,114,21,,,,,,
,,DELEWARE,5409,466,157,18,,,,,,
,,LEHIGH,3396,136,18,3,,,,,,
,,BERKS,3593,207,63,11,,,,,,
,CA,LOS ANGELES,36317,1755,890,46,45220,1179126,,,,
,,SAN DIEGO,5525,235,132,4,,,,,,
,,RIVERSIDE,5496,255,157,6,,,,,,
,,SANTA CLARA,2395,136,15,1,,,,,,
,,ORANGE,4281,84,118,4,,,,,,
16-May,NY,QUEENS,58841,3800,325,19,40669,1378717,,,,
,,KINGS,51991,4222,410,22,,,,,,
,,NASSAU,39033,2507,169,8,,,,,,
,,BRONX,42812,2843,293,11,,,,,,
,,SUFFOLK,37942,1783,223,26,,,,,,
,NJ,BERGEN,17246,1450,51,7,12252,475224,,,,
,,HUDSON,17326,1045,89,3,,,,,,
,,ESSEX,16032,1522,79,12,,,,,,
,,UNION,14569,946,77,7,,,,,,
,,PASSAIC,15031,831,101,15,,,,,,
,MA,SUFFOLK,16346,778,350,10,12410,448089,,,,
,,MIDDLESEX,18883,1370,200,23,,,,,,
,,ESSEX,12314,766,183,15,,,,,,
,,NORFOLK,7412,719,81,9,,,,,,
,,WORCESTER,9067,554,281,16,,,,,,
,MI,WAYNE,,,-18882,-2192,425,357921,,,,
,,OAKLAND,8023,910,29,14,,,,,,
,,MACOMB,6304,739,30,10,,,,,,
,,GENESEE,1845,230,10,1,,,,,,
,,WASHTENAW,1241,88,5,1,,,,,,
,PA,PHILADELPHIA,16032,1031,197,10,8004,327836,,,,
,,MONTGOMERY,5797,614,100,6,,,,,,
,,DELEWARE,5555,478,146,12,,,,,,
,,LEHIGH,3440,139,44,3,,,,,,
,,BERKS,3643,208,50,1,,,,,,
,CA,LOS ANGELES,37352,1793,1035,38,56117,1235243,,,,
,,SAN DIEGO,5664,235,139,0,,,,,,
,,RIVERSIDE,5633,259,137,4,,,,,,
,,SANTA CLARA,2420,136,25,0,,,,,,
,,ORANGE,4396,87,115,3,,,,,,
17-May,NY,QUEENS,59132,3816,291,16,34679,1413396,,,,
,,KINGS,52298,4241,307,19,,,,,,
,,NASSAU,39136,2517,103,10,,,,,,
,,BRONX,43022,2854,210,11,,,,,,
,,SUFFOLK,38117,1799,175,16,,,,,,
,NJ,BERGEN,17361,1455,115,5,12341,487565,,,,
,,HUDSON,17447,1057,121,12,,,,,,
,,ESSEX,16140,1528,108,6,,,,,,
,,UNION,14702,957,133,11,,,,,,
,,PASSAIC,15205,838,174,7,,,,,,
,MA,SUFFOLK,16479,787,133,9,12737,460826,,,,
,,MIDDLESEX,19129,1394,246,24,,,,,,
,,ESSEX,12462,776,148,10,,,,,,
,,NORFOLK,7474,725,62,6,,,,,,
,,WORCESTER,9252,569,185,15,,,,,,
,MI,WAYNE,19065,2213,19065,2213,39037,396958,,,,
,,OAKLAND,8043,912,20,2,,,,,,
,,MACOMB,6345,740,41,1,,,,,,
,,GENESEE,1866,230,21,0,,,,,,
,,WASHTENAW,1242,88,1,0,,,,,,
,PA,PHILADELPHIA,16140,1031,108,0,5068,332904,,,,
,,MONTGOMERY,5872,620,75,6,,,,,,
,,DELEWARE,5619,478,64,0,,,,,,
,,LEHIGH,3470,139,30,0,,,,,,
,,BERKS,3677,208,34,0,,,,,,
,CA,LOS ANGELES,37996,1821,644,28,57429,1292672,,,,
,,SAN DIEGO,5838,242,174,7,,,,,,
,,RIVERSIDE,5776,263,143,4,,,,,,
,,SANTA CLARA,2453,136,33,0,,,,,,
,,ORANGE,4466,88,70,1,,,,,,
18-May,NY,QUEENS,59324,3826,192,10,26161,1439557,,,,
,,KINGS,52485,4261,187,20,,,,,,
,,NASSAU,39225,2530,89,13,,,,,,
,,BRONX,43158,2871,136,17,,,,,,
,,SUFFOLK,38224,1804,107,5,,,,,,
,NJ,BERGEN,17459,1460,98,5,18004,505569,,,,
,,HUDSON,27574,1068,10127,11,,,,,,
,,ESSEX,16600,1546,460,18,,,,,,
,,UNION,14903,962,201,5,,,,,,
,,PASSAIC,15278,839,73,1,,,,,,
,MA,SUFFOLK,16671,793,192,6,8373,469199,,,,
,,MIDDLESEX,19345,1412,216,18,,,,,,
,,ESSEX,12587,790,125,14,,,,,,
,,NORFOLK,7524,728,50,3,,,,,,
,,WORCESTER,9442,581,190,12,,,,,,
,MI,WAYNE,19128,2226,63,13,13220,410178,,,,
,,OAKLAND,8050,913,7,1,,,,,,
,,MACOMB,6357,740,12,0,,,,,,
,,GENESEE,1869,231,3,1,,,,,,
,,WASHTENAW,1245,89,3,1,,,,,,
,PA,PHILADELPHIA,16340,1080,200,49,7705,340609,,,,
,,MONTGOMERY,6012,566,140,-54,,,,,,
,,DELEWARE,5689,478,70,0,,,,,,
,,LEHIGH,3491,173,21,34,,,,,,
,,BERKS,3719,248,42,40,,,,,,
,CA,LOS ANGELES,38477,1839,481,18,46644,1339316,,,,
,,SAN DIEGO,5948,242,110,0,,,,,,
,,RIVERSIDE,5873,268,97,5,,,,,,
,,SANTA CLARA,2468,136,15,0,,,,,,
,,ORANGE,4558,88,92,0,,,,,,
19-May,NY,QUEENS,59508,3841,184,15,28182,1467739,,,,
,,KINGS,52681,4274,196,13,,,,,,
,,NASSAU,39295,2541,70,11,,,,,,
,,BRONX,43270,2884,112,13,,,,,,
,,SUFFOLK,38327,1822,103,18,,,,,,
,NJ,BERGEN,17522,1474,63,14,14613,520182,,,,
,,HUDSON,17621,1082,-9953,14,,,,,,
,,ESSEX,16686,1565,86,19,,,,,,
,,UNION,15031,977,128,15,,,,,,
,,PASSAIC,15371,842,93,3,,,,,,
,MA,SUFFOLK,16825,797,154,4,7741,476940,,,,
,,MIDDLESEX,19504,1436,159,24,,,,,,
,,ESSEX,12748,797,161,7,,,,,,
,,NORFOLK,7565,735,41,7,,,,,,
,,WORCESTER,9582,597,140,16,,,,,,
,MI,WAYNE,19292,2275,164,49,12726,422904,,,,
,,OAKLAND,8078,928,28,15,,,,,,
,,MACOMB,6367,753,10,13,,,,,,
,,GENESEE,1891,235,22,4,,,,,,
,,WASHTENAW,1251,89,6,0,,,,,,
,PA,PHILADELPHIA,16487,1109,147,29,9091,349700,,,,
,,MONTGOMERY,6063,575,51,9,,,,,,
,,DELEWARE,5754,491,65,13,,,,,,
,,LEHIGH,3513,182,22,9,,,,,,
,,BERKS,3735,262,16,14,,,,,,
,CA,LOS ANGELES,39670,1913,1193,74,40804,1380120,,,,
,,SAN DIEGO,6028,242,80,0,,,,,,
,,RIVERSIDE,5963,274,90,6,,,,,,
,,SANTA CLARA,2480,139,12,3,,,,,,
,,ORANGE,4767,88,209,0,,,,,,
20-May,NY,QUEENS,59752,3852,244,11,38097,1505836,,,,
,,KINGS,52889,4311,208,37,,,,,,
,,NASSAU,39368,2550,73,9,,,,,,
,,BRONX,43418,2891,148,7,,,,,,
,,SUFFOLK,38411,1840,84,18,,,,,,
,NJ,BERGEN,17518,1500,-4,26,11161,531343,,,,
,,HUDSON,17748,1106,127,24,,,,,,
,,ESSEX,16852,1569,166,4,,,,,,
,,UNION,15122,994,91,17,,,,,,
,,PASSAIC,15426,855,55,13,,,,,,
,MA,SUFFOLK,16962,807,137,10,13013,489953,,,,
,,MIDDLESEX,29708,1462,10204,26,,,,,,
,,ESSEX,12920,817,172,20,,,,,,
,,NORFOLK,7607,749,42,14,,,,,,
,,WORCESTER,9780,625,198,28,,,,,,
,MI,WAYNE,19432,2284,140,9,14168,437072,,,,
,,OAKLAND,8117,935,39,7,,,,,,
,,MACOMB,6392,763,25,10,,,,,,
,,GENESEE,1915,238,24,3,,,,,,
,,WASHTENAW,1261,90,10,1,,,,,,
,PA,PHILADELPHIA,16645,1152,158,43,7956,357656,,,,
,,MONTGOMERY,6154,596,91,21,,,,,,
,,DELEWARE,5844,491,90,0,,,,,,
,,LEHIGH,3550,188,37,6,,,,,,
,,BERKS,3763,273,28,11,,,,,,
,CA,LOS ANGELES,40932,1970,1262,57,41007,1421127,,,,
,,SAN DIEGO,6142,262,114,20,,,,,,
,,RIVERSIDE,6090,283,127,9,,,,,,
,,SANTA CLARA,2508,139,28,0,,,,,,
,,ORANGE,4866,98,99,10,,,,,,
21-May,NY,QUEENS,60025,3862,273,10,49219,1555055,,,,
,,KINGS,53385,4324,496,13,,,,,,
,,NASSAU,39487,2558,119,8,,,,,,
,,BRONX,43603,2901,185,10,,,,,,
,,SUFFOLK,38553,1851,142,11,,,,,,
,NJ,BERGEN,17583,1508,65,8,12931,544274,,,,
,,HUDSON,17814,1121,66,15,,,,,,
,,ESSEX,16906,1576,54,7,,,,,,
,,UNION,15176,1005,54,11,,,,,,
,,PASSAIC,15497,864,71,9,,,,,,
,MA,SUFFOLK,17089,813,127,6,11533,501486,,,,
,,MIDDLESEX,19930,1478,-9778,16,,,,,,
,,ESSEX,13063,831,143,14,,,,,,
,,NORFOLK,7691,759,84,10,,,,,,
,,WORCESTER,99997,640,90217,15,,,,,,
,MI,WAYNE,19538,2313,106,29,17668,454740,,,,
,,OAKLAND,8125,945,8,10,,,,,,
,,MACOMB,6420,772,28,9,,,,,,
,,GENESEE,1926,240,11,2,,,,,,
,,WASHTENAW,1265,95,4,5,,,,,,
,PA,PHILADELPHIA,16840,1178,195,26,11250,368906,,,,
,,MONTGOMERY,6268,607,114,11,,,,,,
,,DELEWARE,5969,491,125,0,,,,,,
,,LEHIGH,3586,192,36,4,,,,,,
,,BERKS,3784,279,21,6,,,,,,
,CA,LOS ANGELES,42063,2016,1131,46,45646,1466773,,,,
,,SAN DIEGO,6317,262,175,0,,,,,,
,,RIVERSIDE,6245,289,155,6,,,,,,
,,SANTA CLARA,2520,139,12,0,,,,,,
,,ORANGE,4975,112,109,14,,,,,,
22-May,NY,QUEENS,60236,3870,211,8,45738,1600793,,,,
,,KINGS,53639,4336,254,12,,,,,,
,,NASSAU,39608,2572,121,14,,,,,,
,,BRONX,43766,2909,163,8,,,,,,
,,SUFFOLK,38672,1863,119,12,,,,,,
,NJ,BERGEN,17653,1515,70,7,11040,555314,,,,
,,HUDSON,17897,1134,83,13,,,,,,
,,ESSEX,17014,1585,108,9,,,,,,
,,UNION,15191,1018,15,13,,,,,,
,,PASSAIC,15604,881,107,17,,,,,,
,MA,SUFFOLK,17180,818,91,5,10158,511644,,,,
,,MIDDLESEX,20085,1496,155,18,,,,,,
,,ESSEX,13221,842,158,11,,,,,,
,,NORFOLK,7724,771,33,12,,,,,,
,,WORCESTER,10101,652,-89896,12,,,,,,
,MI,WAYNE,19602,2323,64,10,17044,471784,,,,
,,OAKLAND,8131,944,6,-1,,,,,,
,,MACOMB,6445,776,25,4,,,,,,
,,GENESEE,1929,240,3,0,,,,,,
,,WASHTENAW,1275,96,10,1,,,,,,
,PA,PHILADELPHIA,17057,1221,217,43,10095,379001,,,,
,,MONTGOMERY,6366,619,98,12,,,,,,
,,DELEWARE,6060,518,91,27,,,,,,
,,LEHIGH,3613,197,27,5,,,,,,
,,BERKS,3838,283,54,4,,,,,,
,CA,LOS ANGELES,43025,2049,962,33,48533,1515306,,,,
,,SAN DIEGO,6436,271,119,9,,,,,,
,,RIVERSIDE,6351,298,106,9,,,,,,
,,SANTA CLARA,2537,139,17,0,,,,,,
,,ORANGE,5144,118,169,6,,,,,,
23-May,NY,QUEENS,60422,3879,186,9,51268,1652061,,,,
,,KINGS,53902,4346,263,10,,,,,,
,,NASSAU,39726,2578,118,6,,,,,,
,,BRONX,43921,2916,155,7,,,,,,
,,SUFFOLK,38802,1871,130,8,,,,,,
,NJ,BERGEN,17668,1521,15,6,23421,578735,,,,
,,HUDSON,17910,1138,13,4,,,,,,
,,ESSEX,17065,1588,51,3,,,,,,
,,UNION,15186,1022,-5,4,,,,,,
,,PASSAIC,15610,888,6,7,,,,,,
,MA,SUFFOLK,17291,827,111,9,9342,520986,,,,
,,MIDDLESEX,20232,1512,147,16,,,,,,
,,ESSEX,13334,848,113,6,,,,,,
,,NORFOLK,7759,774,35,3,,,,,,
,,WORCESTER,10251,667,150,15,,,,,,
,MI,WAYNE,19697,2361,95,38,-20866,450918,,,,
,,OAKLAND,8192,954,61,10,,,,,,
,,MACOMB,6482,778,37,2,,,,,,
,,GENESEE,1936,240,7,0,,,,,,
,,WASHTENAW,1282,96,7,0,,,,,,
,PA,PHILADELPHIA,17208,1233,151,12,9451,388452,,,,
,,MONTGOMERY,6464,633,98,14,,,,,,
,,DELEWARE,6114,521,54,3,,,,,,
,,LEHIGH,3628,202,15,5,,,,,,
,,BERKS,3845,292,7,9,,,,,,
,CA,LOS ANGELES,44029,2090,1004,41,67439,1582745,,,,
,,SAN DIEGO,6561,275,125,4,,,,,,
,,RIVERSIDE,6460,299,109,1,,,,,,
,,SANTA CLARA,2593,139,56,0,,,,,,
,,ORANGE,5313,130,169,12,,,,,,
24-May,NY,QUEENS,60636,3888,214,9,47765,1699826,,,,
,,KINGS,54175,4360,273,14,,,,,,
,,NASSAU,39837,2586,111,8,,,,,,
,,BRONX,44137,2921,216,5,,,,,,
,,SUFFOLK,38964,1883,162,12,,,,,,
,NJ,BERGEN,17804,1525,136,4,25072,603807,,,,
,,HUDSON,17977,1139,67,1,,,,,,
,,ESSEX,17142,1595,77,7,,,,,,
,,UNION,15169,1025,-17,3,,,,,,
,,PASSAIC,15686,890,76,2,,,,,,
,MA,SUFFOLK,17417,838,126,11,11387,532373,,,,
,,MIDDLESEX,20437,1518,205,6,,,,,,
,,ESSEX,13457,859,123,11,,,,,,
,,NORFOLK,7812,782,53,8,,,,,,
,,WORCESTER,10431,679,180,12,,,,,,
,MI,WAYNE,19771,2359,74,-2,314,451232,,,,
,,OAKLAND,8215,955,23,1,,,,,,
,,MACOMB,6499,778,17,0,,,,,,
,,GENESEE,1948,240,12,0,,,,,,
,,WASHTENAW,1294,96,12,0,,,,,,
,PA,PHILADELPHIA,17384,1233,176,0,7643,396095,,,,
,,MONTGOMERY,6525,633,61,0,,,,,,
,,DELEWARE,6179,521,65,0,,,,,,
,,LEHIGH,3651,206,23,4,,,,,,
,,BERKS,3885,296,40,4,,,,,,
,CA,LOS ANGELES,44954,2104,925,14,61357,1644102,,,,
,,SAN DIEGO,6703,275,142,0,,,,,,
,,RIVERSIDE,6571,304,111,5,,,,,,
,,SANTA CLARA,2623,139,30,0,,,,,,
,,ORANGE,5439,131,126,1,,,,,,
25-May,NY,QUEENS,60828,3900,192,12,39623,1739449,,,,
,,KINGS,54360,4375,185,15,,,,,,
,,NASSAU,39907,2597,70,11,,,,,,
,,BRONX,44247,2932,110,11,,,,,,
,,SUFFOLK,39090,1888,126,5,,,,,,
,NJ,BERGEN,17901,1525,97,0,19990,623797,,,,
